id,name,name_bn
1,BAGERHAT SADAR,বাগেরহাট সদর
2,CHITALMARI,চিতলমারী
3,FAKIRHAT,ফকিরহাট
4,KACHUA,কচুয়া
5,MOLLAHAT,মোল্লাহাট
6,MONGLA,মংলা
7,MORELGANJ,মোরেলগঞ্জ
8,RAMPAL,রামপাল
9,SHARANKHOLA,শরণখোলা
10,ALIKADAM,আলীকদম
11,BANDARBAN SADAR,বান্দরবান সদর
12,LAMA,লামা
13,NAIKKHONGCHHARI,নাইক্ষংছড়ি
14,ROWANGCHHARI,রোয়াংছড়ি
15,RUMA,রুমা
16,THANCHI,থানচি
17,AMTALI,আমতলী
18,BAMNA,বামনা
19,BARGUNA SADAR,বরগুনা সদর
20,BETAGI,বেতাগী
21,PATHARGHATA,পাথরঘাটা
22,TALTALI,তালতলী
23,AGAILJHARA,আগৈলঝাড়া
24,BABUGANJ,বাবুগঞ্জ
25,BAKERGANJ,বাকেরগঞ্জ
26,BANARIPARA,বানারীপাড়া
27,GAURNADI,গৌরনদী
28,HIJLA,হিজলা
29,BARISHAL SADAR (KOTWALI),বরিশাল সদর (কোতোয়ালি)
30,MEHENDIGANJ,মেহেন্দিগঞ্জ
31,MULADI,মুলাদি
32,UJIRPUR,উজিরপুর
33,BHOLA SADAR,ভোলা সদর
34,BORHANUDDIN,বোরহানুদ্দীন
35,CHARFASSON,চরফ্যাসন
36,DAULATKHAN,দৌলতখান
37,LALMOHAN,লালমোহন
38,MONPURA,মনপুরা
39,TAZUMUDDIN,তজুমুদ্দীন
40,ADAMDIGHI,আদমদীঘি
41,BOGURA SADAR,বগুড়া সদর
42,DHUNAT,ধুনট
43,DUPCHACHIA,দুপচাছিয়া
44,GABTALI,গাবতলী
45,KAHALOO,কাহালু
46,NANDIGRAM,নন্দীগ্রাম
47,SARIAKANDI,সারিয়াকান্দি
48,SHAJAHANPUR,শাহজাহানপুর
49,SHERPUR,শেরপুর
50,SHIBGANJ,শিবগঞ্জ
51,SONATALA,সোনাতলা
52,AKHAURA,আখাউড়া
53,BANCHHARAMPUR,বাঞ্ছারামপুর
54,BIJOYNAGAR,বিজয়নগর
55,BRAHMANBARIA SADAR,ব্রাহ্মণবাড়িয়া সদর
56,ASHUGANJ,আশুগঞ্জ
57,KASBA,কাসবা
58,NABINAGAR,নবীনগর
59,NASIRNAGAR,নাসিরনগর
60,SARAIL,সরাইল
61,CHANDPUR SADAR,চাঁদপুর সদর
62,FARIDGANJ,ফরিদগঞ্জ
63,HAIMCHAR,হাইমচর
64,HAJIGANJ,হাজীগঞ্জ
65,KACHUA,কচুয়া
66,MATLAB DAKKHIN,মতলব দাখিন
67,MATLAB UTTAR,মতলব উত্তর
68,SHAHRASTI,শাহরাস্তি
69,AKBARSHAH,আকবরশাহ
70,ANWARA,আনোয়ারা
71,BAYEJID BOSTAMI,বায়েজিদ বোস্তামী
72,BANSHKHALI,বাঁশখালী
73,BAKALIA,বাকালিয়া
74,BOALKHALI,বোয়ালখালী
75,CHALK BAZAR,চকবাজার
76,CHANDANAISH,চন্দনাইশ
77,CHANDGAON,চান্দগাঁও
78,CHATTOGRAM PORT,চট্টগ্রাম বন্দর
79,DOUBLEMOORING,ডাবলমুরিং
80,EPZ,ইপিজেড
81,FATIKCHHARI,ফটিকছড়ি
82,HALISHAHAR,হালিশহর
83,HATHAZARI,হাটহাজারী
84,KARNAPHULI,কর্ণফুলী
85,KOTWALI,কোতোয়ালি
86,KHULSHI,খুলশি
87,LOHAGARA,লোহাগাড়া
88,MIRSARAI,মিরসরাই
89,PAHARTALI,পাহাড়তলী
90,PANCHLAISH,পঞ্চলাইশ
91,PATIYA,পটিয়া
92,PATENGA,পতেঙ্গা
93,RANGUNIA,রাঙ্গুনিয়া
94,RAOZAN,রাওজান
95,SADARGHAT,সদরঘাট
96,SANDWIP,স্যান্ডউইপ
97,SATKANIA,সাতকানিয়া
98,SITAKUNDA,সীতাকুণ্ড
99,ALAMDANGA,আলমডাঙ্গা
100,CHUADANGA SADAR,চুয়াডাঙ্গা সদর
101,DAMURHUDA,দামুড়হুদা
102,JIBANNAGAR,জীবননগর
103,BARURA,বরুড়া
104,BRAHMANPARA,ব্রাহ্মণপাড়া
105,BURICHANG,বুড়িচং
106,CHANDINA,চান্দিনা
107,CHAUDDAGRAM,চৌদ্দগ্রাম
