id,name,name_bn
1,BAGERHAT,বাগেরহাট
2,BANDARBAN,বান্দরবান
3,BARGUNA,বরগুনা
4,BARISHAL,বরিশাল
5,BHOLA,ভোলা
6,BOGURA,বগুড়া
7,BRAHMANBARIA,ব্রাহ্মণবাড়িয়া
8,CHANDPUR,চাঁদপুর
9,CHATTOGRAM,চট্টগ্রাম
10,CHUADANGA,চুয়াডাঙ্গা
11,CUMILLA,কুমিল্লা
12,"COXS BAZAR",কক্সবাজার
13,DHAKA,ঢাকা
14,DINAJPUR,দিনাজপুর
15,FARIDPUR,ফরিদপুর
16,FENI,ফেনী
17,GAIBANDHA,গাইবান্ধা
18,GAZIPUR,গাজীপুর
19,GOPALGANJ,গোপালগঞ্জ
20,HABIGANJ,হবিগঞ্জ
21,JOYPURHAT,জয়পুরহাট
22,JAMALPUR,জামালপুর
23,JASHORE,যশোর
24,JHALOKATI,ঝালকাঠি
25,JHENAIDAH,ঝিনাইদাহ
26,KHAGRACHHARI,খাগড়াছড়ি
27,KHULNA,খুলনা
28,KISHOREGANJ,কিশোরগঞ্জ
29,KURIGRAM,কুড়িগ্রাম
30,KUSHTIA,কুষ্টিয়া
31,LAKSHMIPUR,লক্ষ্মীপুর
32,LALMONIRHAT,লালমনিরহাট
33,MADARIPUR,মাদারীপুর
34,MAGURA,মাগুরা
35,MANIKGANJ,মানিকগঞ্জ
36,MEHERPUR,মেহেরপুর
37,MOULVIBAZAR,মৌলভীবাজার
38,MUNSHIGANJ,মুন্সিগঞ্জ
39,MYMENSINGH,ময়মনসিংহ
40,NAOGAON,নওগাঁ
41,NARAIL,নড়াইল
42,NARAYANGANJ,নারায়ণগঞ্জ
43,NARSINGDI,নরসিংদী
44,NATORE,নাটোর
45,CHAPAINABABGANJ,চাঁপাইনবাবগঞ্জ
46,NETRAKONA,নেত্রকোনা
47,NILPHAMARI,নীলফামারী
48,NOAKHALI,নোয়াখালী
49,PABNA,পাবনা
50,PANCHAGARH,পঞ্চগড়
51,PATUAKHALI,পটুয়াখালী
52,PIROJPUR,পিরোজপুর
53,RAJSHAHI,রাজশাহী
54,RAJBARI,রাজবাড়ী
55,RANGAMATI,রাঙ্গামাটি
56,RANGPUR,রংপুর
57,SHARIATPUR,শরীয়তপুর
58,SATKHIRA,সাতক্ষীরা
59,SIRAJGANJ,সিরাজগঞ্জ
60,SHERPUR,শেরপুর
61,SUNAMGANJ,সুনামগঞ্জ
62,SYLHET,সিলেট
63,TANGAIL,টাঙ্গাইল
64,THAKURGAON,ঠাকুরগাঁও
